surface,reading,romaji,pos,frequency,short_translation,detailed_translation,used_in_sentence
なら,ナラ,nara,助動詞,2,if,"Used to express a conditional situation or to introduce a condition in sentences, commonly translated as 'if' or 'when'.",もし天気が良ければ、散歩に行くことができます。
九,キュー,kyuu,名詞-数詞,2,nine,"The word '九' is a numeral representing the number nine. It is used to denote quantity and order, as in counting or mathematical contexts.",私は毎日、九時に起きます。
おごっ,オゴッ,ogotsu,動詞-一般,2,treat,To pay for someone else's meal or expenses as an act of hospitality or generosity.,友達にランチをおごった。
葉,ハ,ha,名詞-普通名詞-一般,2,leaf,"A leaf is the flat, usually green organ of a plant that's part of photosynthesis. It can also refer more generally to foliage.",秋になると木の葉が落ちる。
落書き,ラクガキ,rakugaki,名詞-普通名詞-サ変可能,2,graffiti,"Graffiti refers to drawings, writings, or marks made in public places, especially without permission and typically depicting artistic designs or messages. It can also mean any scribble or unauthorized writing on a surface.",この壁にはたくさんの落書きが描かれている。
と,ト,to,助詞-接続助詞,2,and,"The word 'と' when used as a connecting particle, serves the function of listing items or connecting phrases and clauses, similar to the English word 'and'. It can also indicate a combination or association of elements or actions.",私はりんごとバナナを買いました。
落ち,オチ,ochi,動詞-一般,2,fall,"To move downward, typically rapidly and freely without control, due to the force of gravity. It can also refer to something decreasing or declining.",木の葉が地面に落ちた。
苦手,ニガテ,nigate,名詞-普通名詞-形状詞可能,2,weakness,"Discomfort or weakness in dealing with something, often used to describe a lack of skill or preference for something.",彼は数学が苦手です。
苦しかっ,クルシカッ,kurushika,形容詞-一般,2,was painful,"Causing physical or emotional pain, difficulty, or distress. Often used to describe experiences, situations, or sensations that are hard to endure.",試験はとても苦しかった。
自分,ジブン,jibun,名詞-普通名詞-一般,2,oneself,"Used to refer to oneself in terms of personal identity, self-awareness, or individual characteristics. Often used to refer to the speaker in a reflective or introspective sense.",彼は自分の意見を持っている。
どの,ドノ,dono,連体詞,2,which,"The word 'どの' is used to specify or ask about one or more items from a known or assumed group, similar to 'which' or 'what'. It is used before nouns to indicate a question or selection.",どの本が一番面白いですか？
一人前,イチニンマエ,ichininmae,名詞-普通名詞-一般,2,serving,"One portion or adequate amount for one person, often used to describe meals or competence of a professional.",彼は一人前の料理を作ることができる。
一人,ヒトリ,hitori,名詞-普通名詞-副詞可能,2,one person,"The word '一人' (hitori) typically refers to a single person, indicating an individual or one person alone. It can also imply being alone or doing something by oneself.",彼は一人で旅行に行きました。
忍術,ニンジュツ,ninjutsu,名詞-普通名詞-一般,2,ninjutsu,"The art or technique of stealth, associated with ninjas in Japanese history, encompassing strategies, tactics, and skills such as espionage and disguises.",彼は忍術を習得している。
え,エ,e,感動詞-一般,2,Oh,"An expression of surprise or realization, often used when someone is taken by surprise or suddenly understands something.",え、あなたも来るの？
思い,オモイ,omoi,名詞-普通名詞-一般,2,thought,"In English, '思い' translates to 'thought' or 'feeling'. It can refer to what someone thinks or feels, an idea, a concept, or an emotional state.",彼の思いは誰にも伝わらなかった。
なかっ,ナカッ,nakatsu,助動詞,2,was not,"The word 'なかっ' is the past form of 'ない', which is used to indicate the absence of something, or to negate a verb in the past tense. It is often used in negative statements to show that something did not happen or does not exist.",昨日、彼は学校にいなかった。
ほう,ホー,hou,名詞-普通名詞-一般,2,direction,"The word 'ほう' can mean 'direction' or 'side'. It is used to indicate a particular way, aspect, or side of something.",私は彼のほうへ行きます。
秘密,ヒミツ,himitsu,名詞-普通名詞-形状詞可能,2,secret,"A fact, idea, or information that is kept hidden or known only to a few people.",彼は秘密を守った。
ハッハッハ,ハッハッハ,hahhahha,感動詞-一般,2,Haha,"This is an onomatopoeic expression of laughter, similar to 'haha' in English, representing a loud or hearty laugh.",彼の冗談を聞いて、みんながハッハッハと笑った。
より,ヨリ,yori,助詞-格助詞,2,than,"The particle より is used to indicate comparison, meanings like 'than', 'rather than', 'more than', when comparing two things.",彼は私より背が高い。
ガキ,ガキ,gaki,名詞-普通名詞-一般,2,brat,"A colloquial term for a child, often used in a derogative context meaning a mischievous or annoying child.",あのガキは本当にうるさい。
あんな,アンナ,anna,連体詞,2,that sort of,"""あんな"" is used to describe something that is similar in nature or type, often referring to a situation, thing, or person. It conveys a sense of being like or akin to something already mentioned or understood.",あんな家に住みたい。
やれ,ヤレ,yare,感動詞-一般,2,Oh dear,"The word 'やれ' is an interjection in Japanese used to express mild surprise, distraction, or relief. It is often used in response to a situation that requires patience or endurance.",やれ、それは大変だったね。
授業,ジュギョー,jugyou,名詞-普通名詞-サ変可能,2,class,A lesson or class; it refers to an academic session where students learn from an instructor.,数学の授業があります。
次,ツギ,tsugi,名詞-普通名詞-一般,2,next,"The term '次' refers to the concept of 'next' or 'following' in a sequence or order. It can denote the next in line, the following occurrence, or something subsequent.",次の駅で降ります。
よう,ヨー,you,形状詞-助動詞語幹,2,seems,"This word, 'よう', is used as a form of auxiliary verb to imply resemblance, manner, or appearance, often similar to 'seems like' or 'appears as'. It is used to express conjecture or comparison.",彼はそれを知らないようだ。
来る,クル,kuru,動詞-非自立可能,2,come,"The verb '来る' (kuru) means 'to come'. It is often used to indicate motion towards the speaker's location or to describe an action that will occur. In this context, it can be an auxiliary verb implying a future action or a continuous process coming towards completion.",彼はすぐに来ると言いました。
来い,コイ,koi,動詞-非自立可能,2,come,The word '来い' is an imperative form of the verb for 'to come'. It is used to command or urge someone to come towards the speaker or a destination.,早く来い！
よっ,ヨッ,yotsu,動詞-一般,2,yo!,"An informal and lively exclamation often used to greet someone, show enthusiasm, or get attention. In English, this is similar to saying ""Hey!"" or ""Hi there!"" in a cheerful manner.","よっ、元気？ (Yo, genki?)"
ら,ラ,ra,接尾辞-名詞的-一般,2,plural marker,"Suffix used to denote plural forms or a group, often used after nouns or pronouns to indicate multiple subjects or objects.",彼らは学校に行きました。
やめろ,ヤメロ,yamero,動詞-一般,2,stop,"This verb is a command or imperative form meaning 'stop it', 'cut it out', or 'don't do it'. It is typically used conversationally to ask someone to cease an action.",彼は私に「やめろ」と言った。
らしい,ラシー,rashii,助動詞,2,seems,"Used to express hearsay, conjecture, or appearance, meaning 'it seems that' or 'apparently'. It suggests that the speaker is not entirely certain, often based on something they've heard or inferred rather than observed directly.",彼は忙しいらしい。
あり,アリ,ari,動詞-非自立可能,2,be,"The word 'あり' is a non-independent verb form of 'ある', used to indicate existence or presence, commonly used in referring to inanimate objects or abstract concepts.",テーブルの上に本がありました。
木,キ,ki,名詞-普通名詞-一般,2,tree,"A large plant with a single stem or trunk and branches, often reaching considerable height. It is commonly found in forests and used in various contexts like wood, shade, and natural habitats.",庭には大きな木がある。
エヘヘヘ,エヘヘヘ,ehehehe,名詞-普通名詞-一般,2,giggle,"A sound representing a giggle or chuckle, often used to describe a laugh that is light-hearted, playful, or a bit mischievous. It conveys a sense of amusement and is commonly used in manga or casual conversations to express this type of laughter.",彼の冗談にエヘヘヘと笑った。
わけ,ワケ,wake,名詞-普通名詞-一般,2,reason,"The word 'わけ' refers to a reason, explanation, or a cause for something. It implies understanding or the logic behind why something happened.",彼が遅れているわけを知りたい。
ああ,アー,aa,感動詞-一般,2,Ah,"An exclamation used to express feelings such as surprise, realization, or relief. In English, it corresponds to expressions like ""Oh,"" ""Ah,"" or ""Aha.""",ああ、やっと終わった！
ん,ン,n,助詞-格助詞,2,in,"A case particle used in Japanese to denote possession, similar to 'in' or 'of' in English. It helps to indicate a relationship between two nouns.",その家の中に猫がいるん。
やら,ヤラ,yara,助詞-副助詞,2,or,"It is used as a particle to list various things or actions, often implying uncertainty or an incomplete list. Similar to 'such as' or 'and so on' in English.",彼は犬やら猫やら飼っている。
死ね,シネ,shine,動詞-一般,2,die,"The verb '死ね' is an imperative form of the verb '死ぬ (shinu)' which means 'to die'. It is used as a command or suggestion, often conveying a negative or harsh emotion.",彼に「死ね」と言わないでください。
父,チチ,chichi,名詞-普通名詞-一般,2,father,Father; used to refer to one's own or someone else's father in both familial and biological contexts.,この本は父がくれたものです。
みろ,ミロ,miro,動詞-非自立可能,2,look,"The imperative form of 'miru,' meaning 'to look' or 'to see.' Used to command someone to look or pay attention to something. It can also be used in informal conversations.",あそこをみろ！ (Look over there!)
ノ,ノ,no,助詞-格助詞,2,of,"The particle 'ノ' (no) is used to indicate possession or a descriptive relationship similar to the English word 'of'. It is used to connect nouns, showing that something belongs to or is related to something else.",彼の本は机の上にあります。
術,スベ,jutsu,名詞-普通名詞-一般,2,technique,"The word '術' refers to a technique, method, or skill, often in the context of arts or crafts. It can also imply the technical aspects or art of a particular practice.",彼は新しい釣り術を学んだ。
渡す,ワタス,watasu,動詞-一般,2,pass,"To give, hand over, or deliver something to someone else. It can also mean to transfer something across a space or boundary.",彼に手紙を渡す。
ませ,マセ,mase,助動詞,2,will not,"'ませ' is a negative auxiliary verb in the polite form used in Japanese. It is often attached to the stem of a verb to negate an action in a formal or polite context, indicating that something will not happen.",明日は行きません。
ダ,ダ,da,助動詞,2,is,"'ダ' is the casual form of 'です', used to assert something or to state a fact in a plain form, often used in colloquial speech.",今日は晴れだ。
所,トコロ,tokoro,名詞-普通名詞-副詞可能,2,place,"A location or space; can refer to a general area, a specific spot, or a role/position in something.",学校の所は静かです。
サスケ,サスケ,sasuke,名詞-固有名詞-人名-名,2,Sasuke,"Sasuke is a masculine given name often found in Japanese culture. It is commonly used as a personal name, often associated with historical or fictional characters.",サスケはいつも最強の忍者になりたいと言っていた。
みたい,ミタイ,mitai,形状詞-助動詞語幹,2,seems,"This word is used to indicate a similarity or appearance of something. It suggests that something looks like or seems to be a certain way, often based on observation or comparison.",彼は先生みたいに話しました。
いたずら,イタズラ,itazura,名詞-普通名詞-サ変形状詞可能,2,prank,"Mischief or prank; refers to playful or naughty behavior, often done for fun without harmful intention.",彼はいたずらをして先生を困らせた。
死ん,シン,shin,動詞-一般,2,die,"To cease living or to stop being alive. In various contexts, it can refer to the end of life for humans, animals, plants, and sometimes metaphorically for inanimate objects.",彼のペットは先週死んでしまった。
決して,ケッシテ,kesshite,副詞,2,never,Used to emphasize that something is not possible or will not happen under any circumstances.,彼は決してあきらめない。
めでとう,メデトー,medetou,形容詞-一般,2,happy,"A word often used to convey congratulations, typically used in phrases like おめでとう (as in おめでとうございます), meaning 'congratulations' or 'happy'. It's part of expressions that celebrate someone's success or happiness.",卒業おめでとう！ (Congratulations on your graduation!)
ケッ,ケッ,ketsu,副詞,2,pfft,"An adverb used to express disdain or to scoff at something. Similar to 'pfft' or 'hmph' in English, it conveys a sense of dismissiveness or sarcasm.",彼の言い訳にケッと言った。
母,ハハ,haha,名詞-普通名詞-一般,2,mother,"In English, '母' translates to 'mother', referring to one's female parent. It is widely used to denote a woman in relation to her child or children.",彼女は優しい母です。
もん,モン,mon,名詞-普通名詞-一般,2,gate,"A barrier or portal at the entrance of an area, typically one that can be opened or closed to allow or restrict entry.",私は昨日、古いもんを見ました。
殺し,コロシ,koroshi,動詞-一般,2,to kill,"The act of causing the death of a person or living being. It can also be used metaphorically, such as 'to kill time'.",彼は計画的に敵を殺した。
や,ヤ,ya,助詞-副助詞,2,or,"As a particle, や is used to list items among others, often translated as 'and' with an implied continuation in English, such as 'A and B and so on'. It can also imply choices, similar to 'or'.",私はリンゴやバナナを食べます。
後回し,アトマワシ,atomawashi,名詞-普通名詞-一般,2,postponement,"The act of delaying or deferring something to a later time, often used to describe a task or decision being put off until after other, supposedly more urgent, matters.",宿題を後回しにして遊びに行った。
不,フ,fu,接頭辞,2,not,"The prefix used to indicate negation or the opposite of something; similar to 'un-', 'non-', or 'dis-' in English.",不安な気持ちが続く。
事件,ジケン,jiken,名詞-普通名詞-一般,2,incident,"An event or occurrence, especially one that is significant or noteworthy. It can refer to any happening or situation, particularly if it's unusual, important, or problematic.",昨日の事件について話しましょう。
ちまっ,チマッ,chimatsu,助動詞,2,just,"An auxiliary verb indicating a very short period of time or an amount that is very small or insignificant, often used with an understated nuance.",気が付いたらちまっと時間が過ぎていました。
受け継い,ウケツイ,uke,動詞-一般,2,inherit,"The verb '受け継ぐ' means to receive or take over something from someone else, especially in the context of inheriting skills, responsibilities, or property.",その技術は代々受け継がれてきました。
しか,シカ,shika,助詞-副助詞,2,only,The Japanese particle 'しか' is used to express the idea of 'only' or 'nothing but'. It emphasizes the limitation or restriction in the sentence.,私は日本語しか話せない。
だまさ,ダマサ,damasa,動詞-一般,2,deceive,To deceive or mislead someone; to trick or cheat someone into believing something untrue.,彼は彼女をだまして、お金を取った。
きつね,キツネ,kitsune,名詞-普通名詞-一般,2,fox,"A small to medium-sized, omnivorous mammal belonging to the family Canidae, known for its bushy tail and pointed ears, often depicted in folklore as being cunning or clever.",森の中で、きつねを見かけました。
帰っ,カエッ,kaetsu,動詞-一般,2,return,To return or go back to a previous place. Often used when someone goes back home or to a previously visited location.,彼は家に帰った。
くせ,クセ,kuse,名詞-普通名詞-一般,2,habit,"A repeated or characteristic action, behavior, or way of doing something typically acquired through frequent repetition. It can refer to both positive and negative tendencies or patterns.",彼はタバコを吸うくせがあります。
くそ,クソ,kuso,感動詞-一般,2,damn,"An exclamation often used to express anger, frustration, or disbelief. It can also be used more casually among friends as a form of joking, but it is considered a vulgar term.",くそ、また失敗した。
ため,タメ,tame,名詞-普通名詞-副詞可能,2,sake,"The word 'ため' means 'sake' or 'purpose'. It is used to indicate the reason, cause, or purpose for something happening or being done. It often translates as 'for the sake of', 'because of', or 'in order to'.",健康のために毎日運動しています。
４,４,4,名詞-数詞,2,four,"The term '４' is the Japanese numeral for the number four. It is used in counting and expressing quantities, much like the English numeral 'four'.",私は４つのりんごを持っています。
ください,クダサイ,kudasai,動詞-非自立可能,2,please,"Used as a request or polite command, expressing the speaker's wish for something to be done. Often used when asking for something or receiving help.",これを見てください。
たかっ,タカッ,takatsu,助動詞,2,want to,"Used to express a desire or wish to perform an action, often attached to the stem of a verb to convey 'want to do something'.",昨日寿司を食べたかった。
たい,タイ,tai,助動詞,2,want to,"Expresses a desire or wish to do something, often used to indicate one's intentions or preferences.",彼は映画を見たい。
尾,ビ,o,接尾辞-名詞的-助数詞,2,end,"In Japanese, 尾 means 'end' or 'tail,' and when used as a suffix, it often indicates a concept of an ending or a tail portion of something. It can also refer to the tail of an animal.",その物語の尾を聞きました。
尾,オ,o,名詞-普通名詞-一般,2,tail,"The word 尾 (o) refers to the tail of an animal or the rear part of an object. In various contexts, it can be used to describe anything resembling a tail or end part.",犬の尾が振っています。
くれ,クレ,kure,動詞-非自立可能,2,give,"Used as an auxiliary verb to request someone to do something for the speaker's benefit, often in informal speech. It implies requesting, asking, or wanting someone to perform an action.",手伝ってくれませんか。
妖狐,ヨーコ,youko,名詞-普通名詞-一般,2,kitsune,"A mythical fox spirit, often depicted in Japanese folklore as a cunning and mystical creature capable of shape-shifting and possessing supernatural powers.",その村には妖狐の伝説が残っている。
くれる,クレル,kureru,動詞-非自立可能,2,give,The verb 'くれる' is used when someone gives something to the speaker or to someone close to the speaker. It implies a sense of favor or kindness from the giver towards the receiver.,友達がプレゼントをくれた。
じゃ,ジャ,ja,助詞-格助詞,2,then,"'じゃ' is a contraction often used in casual or colloquial Japanese, similar to 'then' or 'so' in English. It connects clauses and can indicate conclusion or inference.",それじゃ、また明日会いましょう。
ぜ,ゼ,ze,助詞-終助詞,2,emphasis,The word 'ぜ' is a sentence-ending particle used in informal spoken Japanese to add emphasis or assertiveness to a statement. It is often used by males to express a strong opinion or command.,明日は絶対に勝つぜ。
せる,セル,seru,助動詞,2,causative auxiliary,"The suffix 'せる' in Japanese is used as a causative auxiliary verb. It is attached to verbs to indicate making or letting someone do something, essentially causing the subject to perform the action. It transforms the verb into its causative form.",先生は学生に本を読ませた。
じゃあ,ジャー,jaa,助詞-格助詞,2,then,"A particle used to indicate a transition or conclusion from a preceding statement, often equivalent to 'then' or 'so' in English.",じゃあ、それをやりましょう。
始末,シマツ,shimatsu,名詞-普通名詞-サ変可能,2,management,"Management or dealing with a situation; can also mean outcome, result, or conclusion. It implies handling or dealing with a matter in an orderly or efficient way.",彼の部屋の始末はいつも乱雑だ。
す,ス,su,動詞-非自立可能,2,do,"The verb 'す' is a non-independent verb form, often used as an auxiliary or in combination with other verbs, to indicate an action or performance. It is similar to the English 'do' and can appear in many compound forms.",今日、宿題をす必要があります。
利用,リヨー,riyou,名詞-普通名詞-サ変可能,2,use,"The act of using or making use of something. It can also refer to the utilization or application of a resource, system, or advantage.",この施設は一般の人も利用できます。
ちっと,チット,chitto,副詞,2,a bit,"The word 'ちっと' is an adverb that means 'a bit' or 'a little'. It is used to slightly diminish or soften the expression, similar to 'just a little' in English.",ちっとも変わっていない。
危険,キケン,kiken,名詞-普通名詞-形状詞可能,2,danger,"A state or condition of being exposed to harm, risk, or threat. It can also refer to something that poses such a risk or threat.",この地域は危険です。
作る,ツクル,tsukuru,動詞-一般,2,make,"To create, build, or produce something through a process or effort. It encompasses activities like creating physical objects, preparing food, or bringing into form something new.",彼は美味しいケーキを作る。
後,アト,nochi,名詞-普通名詞-副詞可能,2,after,The word '後' primarily means 'after' or 'behind' in relation to time or order. It can also refer to a consequence or result.,列の後に並んでください。
ここ,ココ,koko,代名詞,2,here,"This is a demonstrative pronoun used to refer to a place or point near the speaker in English, similar to 'here'.",ここに座ってください。
てめぇ,テメー,temee,代名詞,2,you,"An informal or vulgar way to say 'you,' often used in rough or confrontational speech to refer to someone directly. It can be considered rude or offensive in formal contexts.",てめぇ、何をしているんだ？
見つかっ,ミツカッ,mitsu,動詞-一般,2,found,"The verb '見つかっ' is a conjugated form of '見つかる,' which means 'to be found' or 'to be discovered.' It implies that something that was being looked for has been located.",財布が見つかった。
ﾍﾞｯｺｳ,ﾍﾞｯｺｳ,bekkou,名詞-普通名詞-一般,2,tortoiseshell,"A material obtained from the shell of some turtles, particularly the hawksbill turtle, used especially as a decorative material or in jewelry. It has a distinctive mottled brown and yellow color pattern.",この櫛はﾍﾞｯｺｳで作られています。 (This comb is made of tortoiseshell.)
今度,コンド,kondo,名詞-普通名詞-副詞可能,2,next time,"The word '今度' can mean 'this time', 'next time', or 'another time'. It is often used to refer to an upcoming event or occasion without a specific time frame. In different contexts, it may imply 'in the near future' or 'soon'.",今度、一緒に映画を見に行こう。
代わり,カワリ,kawari,名詞-普通名詞-一般,2,substitute,代わり refers to something that takes the place or performs the function of another thing. It can mean a substitute or an alternative.,彼は私の代わりに行った。
言っ,イッ,itsutsu,動詞-一般,2,said,"The word '言っ' is the pre-masu form of the verb '言う' which means 'to say' or 'to tell'. This form is used in the past tense context, indicating something that was said.",彼は昨日それを言った。
名,ナ,mei,名詞-普通名詞-一般,2,name,"A term used to denote or identify a person, object, place, or concept. It is often used to specify or call someone or something.",彼の名は有名です。
さ,サ,sa,接頭辞,2,prefix,"A prefix added to words in the Japanese language, used for emphasis or to add nuance or politeness.",さすがだね、君は。
つ,ツ,tsu,接尾辞-名詞的-助数詞,2,counter,"The suffix 'つ' is used as a counter in Japanese for counting general objects. It is often used for things that do not have a specific counter of their own. For example, ひとつ (hitotsu) is used for 'one thing', ふたつ (futatsu) for 'two things', and so on.",このケーキを三つください。
頑張っ,ガンバッ,ganbatsu,動詞-一般,2,work hard,"To make a strong effort or strive persistently to achieve something, often despite difficult circumstances.",彼は試験に向けて頑張っています。
ちょっと,チョット,chotto,副詞,2,a little,"Used to indicate a small amount or degree, often suggesting a gentle or slight modification. It can also imply hesitance or understatement in a request or action.",ちょっと待ってください。
試験,シケン,shiken,名詞-普通名詞-サ変可能,2,exam,"An assessment or test, typically a written one, where individuals demonstrate their knowledge or skills in a particular subject area.",彼は来週、数学の試験があります。
さっき,サッキ,sakki,名詞-普通名詞-副詞可能,2,earlier,"The word 'さっき' is used to refer to a short while ago or earlier, indicating a time just past.",さっきの会話を覚えていますか？
始める,ハジメル,hajime,動詞-非自立可能,1,start,"To initiate or begin something. It can indicate the start of an action, project, or process.",新しいプロジェクトを始める。
学校,ガッコー,gakkou,名詞-普通名詞-一般,1,school,"An institution for educating students, typically comprising different levels such as elementary, middle, and high school, as well as potential higher education.",彼は毎日学校に行きます。
教えよう,オシエヨー,oshie,動詞-一般,1,teach,"The verb '教えよう' is in the volitional form, suggesting 'let's teach' or 'I will teach'. It implies a willingness or intention to provide instruction or knowledge to someone.",この難しい問題を教えよう。
振ら,フラ,fura,動詞-一般,1,wave,"The verb '振ら' is a conjugated form of '振る', which means to wave or to shake something, as well as to sprinkle, reject, or allocate, depending on the context in Japanese.",彼は手を振らなかった。
大,ダイ,dai,接頭辞,1,big,"The prefix '大' is used to denote size, scale, or greatness, often translating to 'big,' 'great,' or 'large' in English. It can indicate either physical size or figurative importance.",大成功を収めた。
困じ,コージ,kon,動詞-一般,1,to be troubled,"To be in a state of difficulty or distress, often expressing confusion, worry, or not knowing what to do.",彼は困じてしまった。
場合,バアイ,baai,名詞-普通名詞-副詞可能,1,case,"A situation or circumstance. It can refer to a specific event, context, or condition where something takes place.",必要な場合には、連絡してください。
手の内,テノウチ,teno,名詞-普通名詞-一般,1,inside secrets,"This word refers to one's tactics, strategies, or the innermost thoughts and plans that are generally kept secret. It can also imply having control or being in one's grip.",彼は手の内を見せない。
教室,キョーシツ,kyoushitsu,名詞-普通名詞-一般,1,classroom,"A classroom is a room, typically in a school or other educational institution, where teaching and learning activities take place. It is a space where a teacher conducts lessons and students receive instruction.",教室にはたくさんの机と椅子があります。
大丈夫,ダイジョーブ,daijoubu,形状詞-一般,1,okay,"""Daijoubu"" means okay or alright in English. It is used to indicate safety, well-being, or assurance that something is fine.",彼女は「私は大丈夫です」と言った。
存在,ソンザイ,sonzai,名詞-普通名詞-サ変可能,1,existence,"The state or fact of being real or having an actual being, can also refer to the presence of something or someone in a certain place.",地球上の生命の存在は奇跡である。
抑え,オサエ,osae,動詞-一般,1,suppress,"To control, suppress, or restrain something such as emotions, desires, or actions.",彼は感情を抑えようとした。
大事,ダイジ,daiji,名詞-普通名詞-一般,1,Important thing,"An important thing, matter, or affair; something of great significance or value.",その会議はとても大事です。
外し,ハズシ,hazushi,動詞-一般,1,remove,"The act of removing or taking off something from its place, often used in contexts like removing parts or disengaging attachments.",彼は帽子を外しました。
教え,オシエ,oshie,動詞-一般,1,teach,"The act of imparting knowledge, skills, or information to others; instructing or educating a person or group.",彼は日本語を教えています。
壊滅,カイメツ,kaimetsu,名詞-普通名詞-サ変可能,1,destruction,"Destruction or annihilation, refers to completely destroying or wiping out something.",地震で町が壊滅しました。
持ち出さ,モチダサ,mochidasa,動詞-一般,1,take out,"""持ち出さ"" means to ""take out"" or ""carry out"" something, implying the action of removing or bringing something out from one place to another. It is often used in the context of physically moving or extracting items.",彼は秘密の書類を持ち出しました。
外,ソト,soto,名詞-普通名詞-一般,1,outside,The word '外' (soto) refers to the outside or exterior of something. It can also mean the outer part or area beyond a boundary or enclosure.,彼は外で遊んでいます。
大した,タイシタ,taishita,連体詞,1,great,"The word '大した' is used to describe something as great, impressive, considerable, or significant. It is often used in a context to emphasize the extent or importance of something.",彼は大した才能を持っている。
失格,シッカク,shikkaku,名詞-普通名詞-サ変可能,1,disqualification,"Disqualification; the state of being disqualified or rendered unqualified, often used in contexts such as sports or examinations.",試合で反則をしたため、彼は失格になった。
持ち出し,モチダシ,mochidashi,動詞-一般,1,take out,"To take something out or away from its original place, often implying removal or transfer from one location to another.",彼は本を図書館から持ち出しました。
多重,タジュー,tajuu,名詞-普通名詞-一般,1,multiple,"Refers to something that involves or consists of multiple layers, levels, or instances. Often used in contexts like multiple layers or multiplicity.",この問題には多重の要因が関与しています。
放せ,ハナセ,hanase,動詞-一般,1,release,"The verb '放せ' means to let go or release something, typically used when telling someone to release or let go of an object or a person.",そのロープを放せ！
持つ,モツ,motsu,動詞-一般,1,hold,"The verb '持つ' (motsu) means to hold, carry, have, or possess something. It can also imply the maintenance or retention of an object, idea, responsibility, or relationship.",彼女はバッグをしっかり持っている。
場所,バショ,basho,名詞-普通名詞-一般,1,Place,"The word '場所' refers to a 'place' or 'location' in a general sense. It can be used to denote any physical space or area where something is or occurs. It can refer to locations in both urban and rural contexts, and is used in various situations to specify a point or environment.",会議の場所を変更しました。
憎い,ニクイ,nikui,形容詞-一般,1,hateful,"Describes someone or something that is detestable, loathsome, or abominable in nature. It conveys a strong feeling of dislike or disgust.",彼の裏切りは本当に憎い。
孫,マゴ,mago,名詞-普通名詞-一般,1,grandchild,"The word '孫' translates to 'grandchild' in English. It refers to the child of one's son or daughter, essentially the offspring of one's children.",彼は孫に会うのを楽しみにしている。
守っ,マモッ,mamotsu,動詞-一般,1,protect,"To protect, defend, or guard something or someone, ensuring safety or security.",彼は約束を守った。
引き付け,ヒキツケ,hikitsuke,動詞-一般,1,attract,"To attract or draw something towards oneself, often used in the context of something appealing or interesting.",彼は彼女の注意を引き付けた。
思わ,オモワ,omowa,動詞-一般,1,think,"This verb means 'to think' in the sense of having thoughts or opinions about something. It can also imply considering, feeling, or perceiving within the mind.",彼はいつもポジティブに思わ。
引く,ヒク,hiku,動詞-一般,1,pull,"The verb '引く' primarily means 'to pull' or 'to draw', as in pulling an object towards you or drawing a line. It can also mean to subtract in mathematical contexts, or to play a string instrument by drawing a bow across the strings.",子供はおもちゃの車を引く。
思っ,オモッ,omotsu,動詞-一般,1,thought,"The past tense form of the verb 'think', meaning to have considered or formed ideas and opinions in one's mind.",昨日のことを思っています。
引け,ヒケ,hike,動詞-一般,1,pull back,"The verb '引け' typically implies pulling back or retreating, often used in contexts where a physical or metaphorical retraction is taking place.",彼は怖くなって一歩引けた。
強,ツヨ,kyou,形容詞-一般,1,strong,"Describes something or someone with strength, power, or intensity. It may also refer to emotional resilience or robust characteristics.",彼は非常に強い人です。
忍者,ニンジャ,ninja,名詞-普通名詞-一般,1,ninja,"A ninja is a covert agent or mercenary in feudal Japan who specialized in unorthodox warfare, espionage, assassination, and guerrilla tactics. They are often depicted as wearing dark clothing and possessing stealth skills.",子供たちは忍者になりたいと思っている。
忍,シノブ,nin,名詞-固有名詞-人名-姓,1,Shinobu,Shinobu is a Japanese surname. It is often used as a family name and can be found in historical and contemporary contexts.,忍さんは有名な作家です。
強く,ツヨク,tsuyoku,形容詞-一般,1,strong,"Describes something that is powerful, intense, or firm. It can refer to physical strength, influence, or force of emotion.",彼は強く頑張ったが、怪我には勝てなかった。
当ったり前,アッタリマエ,atsu,形状詞-一般,1,natural,The word '当ったり前' can be translated to 'natural' or 'obvious' in English. It is often used to describe something that is taken for granted or is seen as self-evident or normal.,彼が成功したのは当ったり前のことだ。
心配,シンパイ,shinpai,名詞-普通名詞-サ変形状詞可能,1,worry,An emotional state of concern or anxiety about potential negative outcomes or problems.,彼の健康が心配です。
形,カタチ,katachi,名詞-普通名詞-一般,1,shape,"In English, '形' (katachi) generally means 'shape' or 'form'. It can refer to the physical shape of an object, the form of something abstract, or the way something appears.",この箱の形は四角です。
心変わり,ココロガワリ,kokoro,名詞-普通名詞-サ変可能,1,change of heart,"A change in one's feelings, opinions, or attitude towards something or someone.",彼は急に心変わりして、計画を変更した。
方,カタ,hou,接尾辞-名詞的-一般,1,person,"The word '方' is a noun used as a suffix to refer to either a person or direction, often indicating the side or person associated with an action or attribute. It can also imply someone who acts or performs.",私の方が正しいです。
心,ココロ,kokoro,名詞-普通名詞-サ変可能,1,heart,"The organ in the body that pumps blood, or metaphorically, the center of emotion or thought; often used to refer to one's feelings, intent, or spirit.",彼の言葉には心がこもっている。
彼,カレ,kare,代名詞,1,he,The word '彼' is a personal pronoun in Japanese used to refer to a male person. It corresponds to 'he' in English and is used to denote a male third person singular subject.,彼は学校に行きました。
待て,マテ,mate,動詞-一般,1,wait,The command form of the verb 'to wait'. It is an imperative form used to order or request someone to wait.,犬に『待て』と合図を出した。
