surface,reading,romaji,pos,frequency,short_translation,detailed_translation,used_in_sentence,english_pos
気分,キブン,kibun,名詞-普通名詞-一般,1,mood,"Refers to a person's mood or feelings at a particular time, including their emotional state and general disposition.",今日は気分がいい。,noun
殺気,サッキ,sakki,名詞-普通名詞-一般,1,menace,"A sense of hostility or threat, often referring to an aura or atmosphere that gives an impression of impending violence.",彼の目には殺気が漂っていた。,noun
楽しん,タノシン,tanoshi,動詞-一般,1,enjoy,To take pleasure or delight in something. It refers to deriving enjoyment or satisfaction from an activity or experience.,私は旅行をとても楽しんでいます。,verb
板,イタ,ita,名詞-普通名詞-一般,1,board,"The word '板' in Japanese refers to a flat, thin, and usually rectangular piece of material like wood, metal, or plastic, used for various purposes such as construction, display, or as a panel.",彼は木の板を切った。,noun
痛く,イタク,itaku,形容詞-一般,1,painful,"Causing physical, emotional, or mental pain. It can also describe something that is distressing or unpleasant.",その転倒で彼は腕が痛くなった。,adjective
見逃す,ミノガス,minogasu,動詞-一般,1,overlook,"To overlook or miss seeing something, to fail to notice or recognize. It can also mean to let an opportunity slip by unobserved or unnoticed.",彼は重要な点を見逃してしまった。,verb
見込ん,ミコン,mikon,動詞-一般,1,expect,"To foresee or anticipate something as a possibility or probable occurrence, often used when predicting outcomes or relying on certain prospects.",彼は来年の売上が増加することを見込んでいる。,verb
色気,イロケ,iroke,名詞-普通名詞-一般,1,allure,Allure or charm; often refers to an appealing and attractive aura or sensuality that someone possesses.,彼女は色気がたっぷりある。,noun
腹痛,ハライタ,fukutsuu,名詞-普通名詞-一般,1,stomachache,"A commonly used noun in Japanese that refers to pain in the stomach or abdominal area. It can indicate conditions like indigestion, gastritis, or other gastrointestinal issues.",昨日から腹痛が続いています。,noun
腐る,クサル,kusaru,動詞-一般,1,rot,"To decay or decompose; become spoiled or rotten. This term can also refer to deterioration in a figurative sense, such as morals or structures.",食べ物がテーブルの上で腐った。,verb
育ち,ソダチ,sodachi,動詞-一般,1,grow,"The word '育ち' refers to the process of growing, developing, or maturing. It implies biological and environmental influence on a person or an organism as they mature.",彼は都会で育ちました。,verb
発表,ハッピョー,happyou,名詞-普通名詞-サ変可能,1,announcement,"A formal statement or declaration, often used in contexts such as presentations, reports, or expressing information to the public or a group.",彼は大会で新しい計画を発表しました。,noun
縄抜け,ナワヌケ,nawa,名詞-普通名詞-サ変可能,1,escape,"An act of slipping out of a binding or confinement, typically used to refer to a skill or act where one escapes from ropes or similar bindings.",彼は見事な縄抜けを披露した。,noun
絡む,カラム,karamu,動詞-一般,1,entangle,"The verb '絡む' can mean to entangle, get entangled, or become entwined. It can also imply involvement, such as getting involved or tangled in a situation or with someone, potentially causing complications.",糸が絡むと解くのが大変です。,verb
組み,クミ,kumi,動詞-一般,1,assemble,"To combine or join together different parts to form a whole, often used for putting together components of a machine or building.",彼は家具を組み立てた。,verb
紹介,ショーカイ,shoukai,名詞-普通名詞-サ変可能,1,introduction,"The act of introducing someone or something to a person, group, or broader context. It can also refer to a presentation or announcement of something new.",彼は自己紹介をしました。,noun
紅,クレナイ,kurenai,名詞-普通名詞-一般,1,crimson,"The color red, specifically a deep or vivid red, often associated with beauty or passion.",彼女のドレスは鮮やかな紅だった。,noun
節穴,フシアナ,fushiana,名詞-普通名詞-一般,1,knothole,"A 'knothole' refers to a hole in a piece of wood where a knot has fallen out. This is often used metaphorically in Japanese to describe someone's inability to see clearly or perceive details correctly, akin to looking through a knothole.",彼は写真を節穴のように見ていた。,noun
秋道,アキミチ,akimichi,名詞-固有名詞-人名-姓,1,Akimichi,"Akimichi is a Japanese surname, often used as a family name in Japan. It is not a common name, and it might have specific cultural or regional significance.",秋道さんは昨日友達と一緒に公園へ行きました。,noun - proper noun - personal name - surname
祈る,イノル,inoru,動詞-一般,1,pray,"The act of making a request or expressing a wish or hope for something, often directed towards a deity or higher power.",彼女は健康を祈る。,verb
相,アイ,sou,接頭辞,1,mutual,"A prefix used to imply mutuality or togetherness in activities, relations, or states. It can indicate shared or reciprocal relations between people or objects.",相互の理解は重要です。,prefix
兄,アニ,ani,名詞-普通名詞-一般,1,brother,"An elder male sibling in the family, commonly referred to as 'brother'. It can also convey a sense of familiarity or camaraderie between non-family members.",私の兄は大学で勉強しています。,noun
優しく,ヤサシク,yasashi,形容詞-一般,1,gently,"In English, '優しく' translates to 'gently' or 'kindly.' It refers to the manner in which an action is carried out with softness, kindness, or tenderness. Also used to describe someone's personality as gentle or kind-hearted.",彼は優しく微笑んだ。,adjective
つう,ツー,tsuu,助動詞,1,you know,"An informal term used as an auxiliary verb in Japanese. It indicates that the speaker is assuming the listener already knows the information being referred to, similar to saying 'you know' or 'isn't it'. Primarily used in casual conversation.",これは美味しい、つう？,auxiliary verb
なっ,ナッ,natsu,感動詞-一般,1,Wow,"An interjection used to express surprise, admiration, or excitement.",なっ！それはすごいです。,Interjection
いろんな,イロンナ,ironna,連体詞,1,various,"Expresses diversity or a variety of different types or kinds. Often used to describe a range of objects, experiences, or situations.",いろんな人が集まった。,adjective
なさい,ナサイ,nasai,動詞-非自立可能,1,Do,"A polite imperative form used to instruct someone to do something. Frequently used in commands or advice, often directed with respect to the listener.",宿題をしなさい。,verb (imperative)
いん,イン,in,動詞-一般,1,say,To convey or express something verbally; to utter or pronounce.,彼は何か言いたそうだ。,verb
うっ,ウッ,utsu,感動詞-一般,1,oops,"Expresses a mild surprise, regret, or embarrassment, similar to 'oops' or 'uh-oh' in English.",うっ、しまった！コーヒーをこぼしちゃった。,interjection
どい,ドイ,doi,動詞-一般,1,carry,The word 'どい' refers to the action of carrying or moving something from one place to another. It is used as a general verb to indicate transportation or relocation of objects.,彼は重い箱をどいで部屋まで運んだ。,verb
ときゃ,トキャ,tokya,助動詞,1,when,"""ときゃ"" is a colloquial contraction in Japanese, often used to imply 'when' or 'if.' It is more informal and usually paired in conversational scenarios, expressing conditions or timing.",今夜映画を見るときゃ、一緒に行こう。,auxiliary verb
でる,デル,deru,助動詞,1,come out,"The auxiliary verb 'でる' is used to indicate coming out, leaving, appearing, or emerging. It is often used in combination with other verbs or context to indicate a change of state or movement from inside to outside.",彼は部屋から出て行った。,auxiliary verb
てっ,テッ,tetsu,助動詞,1,te,The term 'てっ' is a colloquial and informal contraction of the auxiliary verb 'ている' which is often used in informal spoken Japanese to indicate a continuing action or state. This form is very region specific and not commonly used in standard Japanese.,彼は勉強しててっね。,auxiliary verb
いただき,イタダキ,itadaki,動詞-非自立可能,1,receive,"A polite or humble form of the verb 'to receive' or 'to take,' often used to show respect or humility, particularly in Japanese honorific or humble language.",この贈り物をいただきます。,verb (non-independent)
あくび,アクビ,akubi,名詞-普通名詞-サ変可能,1,yawn,"A yawn is an involuntary reflex where one opens their mouth wide, takes a deep breath, and sometimes stretches, generally as an indication of tiredness, boredom, or drowsiness.",眠くなると、ついあくびが出てしまう。,noun
まさか,マサカ,masaka,副詞,1,never,"Used to express disbelief or disagreement, often translated as 'No way!' or 'It can't be!'",まさか、そんなことは起こらないでしょう。,adverb
まい,マイ,mai,助動詞,1,will not,"An auxiliary verb used to express the intention not to do something, similar to 'will not' or 'won't' in English. It can also express strong negative probability, equivalent to 'probably won't' or 'unlikely to'.",明日は雨が降るまい。,auxiliary verb
ま,マ,ma,副詞,1,really,"Indeed, truly; used to express reality, certainty, or emphasis. Often used to affirm something strongly.",それはまさに理想の家です。,adverb
ほら,ホラ,hora,感動詞-一般,1,look,"An interjection used to draw someone's attention to something, convey a sense of demonstration, or to emphasize a point.",ほら、あそこに山が見える。,interjection
ほっ,ホッ,hotsu,動詞-一般,1,sigh,"To breathe out a long breath audibly, often in relief, contentment, or weariness.",彼は試験が終わると、ほっとした。,verb
へいへい,ヘーヘー,heihei,副詞,1,okay,"An informal or casual expression used to agree, comply, or acknowledge, similar to 'yeah' or 'sure' in English.",彼が何か言ったら、彼女はただ『へいへい』と答えた。,adverb
ぶ,ブ,bu,記号-一般,1,bu,音楽における休符を示す音の数。音楽用語として使用されます。,譜面上にぶと書かれているところは強調する。,symbol-general
ふぅ,フー,fuu,感動詞-一般,1,exhale,"An expression of relief or exhaustion, often accompanied by a sigh or deep breath.",宿題が終わった後、彼は『ふぅ』と一息ついた。,interjection
ふ,フ,fu,接尾辞-名詞的-一般,1,fu,"""Fu"" is a suffix used in Japanese to form nouns or noun phrases, often indicating a type of person or profession. For example, in ""医者風"" ('isya-fu'), it means 'like a doctor' or 'in a doctor-like manner.'",彼は医者風の服装をしていました。,suffix-noun-like
あまり,アマリ,amari,名詞-普通名詞-副詞可能,1,remainder,"In Japanese, 'あまり' can mean 'remainder' as a noun, often used in the context of leftovers or things that are not fully consumed or used. It can also mean 'not very' or 'excess' when used as an adverbial noun.",彼はあまり時間を無駄にしたくない。,noun
あれ,アレ,are,代名詞,1,that,A demonstrative pronoun used to refer to something far away from both the speaker and the listener.,あれは何ですか？,pronoun
のんき,ノンキ,nonki,形状詞-一般,1,carefree,"Describes someone who is unconcerned, relaxed, or lacking in worry. It can imply a positive sense of peace or a negative sense of irresponsibility.",彼はいつも決まりきった生活をし、のんきに過ごしています。,adjective
い,イ,i,感動詞-フィラー,1,hey,"The word 'い' can be used as a filler word similar to 'hey' or 'well' in English, often used to draw attention, initiate a conversation, or pause for thought.",えーと、い、それでどうする？,interjection
つい,ツイ,tsui,動詞-一般,1,unintentionally,"The word ""つい"" typically implies doing something unintentionally or without forethought, often leading to a situation that may not have been intended or desired.",つい食べ過ぎてしまった。,verb
またまた,マタマタ,matamata,副詞,1,again,"Again or repeatedly, often used to emphasize the recurrence of an action or situation.",彼はまたまた私に嘘をついた。 (He lied to me again and again.),adverb
くノ一,クノイチ,ku,名詞-普通名詞-一般,1,female ninja,"A 'kunoichi' is a term used to refer to a female ninja or female practitioner of ninjutsu in historical Japan. Kunoichi were skilled in espionage, assassination, and guerrilla warfare, much like their male counterparts.",彼女はくノ一として任務を果たした。,noun - common noun - general
すっかり,スッカリ,sukkari,副詞,1,completely,"'Sukkari' is used to describe something that is fully or entirely done, indicating a state in which nothing is left undone or remaining. It conveys the sense of being total or whole.",すっかり忘れてしまった。,adverb
すい,スイ,sui,動詞-一般,1,inhale,"The verb 'すい' (sui) means to inhale, breathe in, or suck. It can also refer to actions such as smoking a cigarette or drinking through a straw. Common uses include taking a breath or drawing in air or smoke.",彼は深く息をすい込んだ。,verb
じゃ,ジャ,ja,接続詞,1,then,"Used to indicate a consequence or result, similar to 'then' or 'in that case' in English. It is often used to indicate a decision or conclusion based on preceding information.",じゃ、行こうか。,conjunction
しよう,シヨー,shiyou,動詞-非自立可能,1,let's do,"This word is the volitional form of the verb 'する' which means 'to do'. It is used to express the speaker's intention or suggestion to engage in an activity. The English equivalent can vary, such as 'let's do', or 'shall we do'.",明日一緒に映画を見に行こうと思っています。どうしよう？,verb (non-independent)
さて,サテ,sate,接続詞,1,well,"It is used to transition, indicating readiness to start something new or to change the subject.",さて、次の話題に移りましょう。,conjunction
ことし,コトシ,kotoshi,名詞-普通名詞-副詞可能,1,this year,"The term refers to the current year in context, often used in expressions to discuss activities, events, or changes happening within the year.",今年は新しい仕事を始める予定です。,noun
ことん,コトン,koton,副詞,1,quietly,"This adverb 'ことん' is used to describe something happening quietly, softly, or in a subdued manner. It refers to the small, almost inaudible nature of a sound or action.",夜中に家の中をことんと歩く。,adverb
こなし,コナシ,konashi,動詞-非自立可能,1,handle,"To manage, deal with, or perform a task successfully, often without difficulty. This verb is often used in contexts where someone skillfully completes a task or handles a situation smoothly.",彼女は忙しい日課をうまくこなしている。,verb
こなせる,コナセル,konaseru,動詞-非自立可能,1,handle,"To be able to handle or manage something successfully, often referring to tasks or responsibilities.",彼はどんな仕事もこなせる。,verb
せいぜい,セーゼー,seizei,副詞,1,at most,"The word ""せいぜい"" is an adverb meaning ""at most"" or ""at best"". It is used to indicate the maximum limit or extent of something, often implying limitation or a lesser degree than might be desired.",彼がランニングできるのはせいぜい3キロです。,adverb
くさ,クサ,kusa,接尾辞-形容詞的,1,smelly,"The suffix 'くさ' is used to describe something having a strong, often unpleasant odor. It can be attached to nouns to form adjectives that convey this meaning.",その魚はくさくて食べられない。,suffix-adjective
かげん,カゲン,kagen,名詞-普通名詞-サ変可能,1,adjustment,"The term 'かげん' can mean adjustment, modification, or regulation in certain contexts, referring to the act of making slight changes to achieve a desired condition or balance.",その機械は温度のかげんが大切です。,noun
お,オ,o,感動詞-一般,1,Oh,"An exclamation used to express a range of emotions such as surprise, admiration, or understanding.",お、なんという美しい景色だ！,interjection
おとなしく,オトナシク,otonashiku,形容詞-一般,1,quietly,"Describing behavior of being calm, gentle, obedient, or quietly compliant.",彼女はおとなしく座っていました。,adjective
ちゃい,チャイ,chai,助動詞,1,must not,"This auxiliary verb indicates a prohibition or a strong recommendation not to do something. It is a colloquial variant of the verb combination 'ではいけない' or 'てはダメ', used to say that something should not be done.",ここでタバコを吸っちゃいけない。,auxiliary verb
ちくしょう,チクショー,chikushou,名詞-普通名詞-一般,1,damn,"A colloquial expression used to show frustration, annoyance, or anger, often equating to 'damn' or 'dammit' in English. It is also sometimes used more colloquially as 'bastard' or 'beast' in a joking or angry context.",彼は無礼なことを言ったので、ちくしょう！と思ってしまった。,noun
だら,ダラ,dara,助動詞,1,if,"Used to indicate a condition, similar to ""if"" in English, typically following a hypothetical or potential situation.",もし明日雨が降ったら、試合は中止になるだろう。,auxiliary verb
だます,ダマス,damasu,動詞-一般,1,deceive,"The verb 'だます' means to deceive, cheat, or trick someone. It implies causing someone to believe something that is not true, or misguiding them for various reasons or intentions.",彼は友達をだました。,verb
おもしろ,オモシロ,omoshiro,形容詞-一般,1,interesting,The word 'おもしろ' is commonly translated as 'interesting' in English. It is used to describe something that captures attention or provokes thought. It can also imply amusing or fun depending on the context.,この本はとてもおもしろいです。,adjective
おもしろく,オモシロク,omoshiroku,形容詞-一般,1,interesting,"This word means 'interesting' or can also imply something is 'fun' or 'amusing'. It is often used to describe situations, events, or stories that capture one's attention or entertain.",その映画はとてもおもしろくて、皆が楽しんでいました。,adjective
くぅ,クー,kuu,感動詞-一般,1,Wow,"An expression of amazement, surprise, or satisfaction, often used when something excites or impresses.",感動の映画を見て、観客は皆くぅと声を上げた。,interjection-general
かなう,カナウ,kanau,動詞-一般,1,come true,"The verb 'かなう' can mean 'to come true' or 'to be realized', especially in the context of wishes and dreams. It can also mean 'to suit' or 'to conform to', depending on the context.",彼の夢がかなう日が来た。,verb
たまる,タマル,tamaru,動詞-一般,1,accumulate,"To gather or collect over time, used for things like stress, wealth, or points.",ストレスがたまると健康によくない。,verb
かなり,カナリ,kanari,副詞,1,quite,"The word 'かなり' is an adverb used to describe something that is to a considerable degree or fairly. It suggests a significant amount or extent that is notable but not extreme. It can translate to 'quite', 'considerably', 'fairly', or 'pretty' in English.",彼はかなり疲れているようです。,adverb
ただ,タダ,tada,名詞-普通名詞-一般,1,ordinary,"The word 'ただ' as a noun can mean 'ordinary' or 'common'. It is often used to denote something that is plain or usual, without any special qualities.",彼はただの学生です。,noun
きのう,キノー,kinou,名詞-普通名詞-副詞可能,1,yesterday,"The word 'きのう' primarily means 'yesterday' in English, referring to the day before today. It can be used as a noun to denote the previous day.",きのうはとても忙しかったです。,noun
そらし,ソラシ,sorashi,動詞-一般,1,avert,To turn away or direct attention away from something; to avoid or deflect a subject or situation.,彼は話題をそらした。,verb
そっ,ソッ,sotsu,副詞,1,quickly,The adverb 'そっ' is used to indicate doing something swiftly or quickly. It suggests a quick or sudden action.,彼はそっと部屋を出た。,adverb
そして,ソシテ,soshite,接続詞,1,and,"A conjunction used to connect words, phrases, or clauses, indicating a sequence or an addition to what was previously stated.",彼は朝食を食べ、そして仕事に行った。,conjunction
そう,ソー,sou,接尾辞-名詞的-一般,1,like that,"Used as a suffix to mean 'like', 'as if', or 'appears to be'. It is often used to denote similarity or a manner of something.",彼女は何も知らないそうだ。,suffix
健闘,ケントー,kentou,名詞-普通名詞-サ変可能,1,brave effort,"A courageous or valiant effort, often used to describe attempts or endeavors that are commendable, even if the outcome is not successful.",彼は試合で健闘しました。,noun
トイレ,トイレ,toire,名詞-普通名詞-一般,1,toilet,"A room or a space equipped with facilities for urination and defecation, typically including a toilet fixture, a sink, and sometimes a mirror. It's an essential facility in both residential and public buildings.",彼はトイレに行きました。,noun-common-noun-general
ワン,ワン,wan,名詞-普通名詞-一般,1,bark,The word 'ワン' (wan) is used to mimic the sound of a dog's bark in Japanese. It is an onomatopoeia commonly used to represent the sound of barking.,犬がワンワンと吠えている。,common noun
レベル,レベル,reberu,名詞-普通名詞-一般,1,level,"Level refers to a particular stage or degree in a series or scale of measurement, especially in terms of achievement, quality, or intensity.",そのゲームの難易度はレベルごとに上がっていきます。,noun-common-general
ルーキー,ルーキー,ruukii,名詞-普通名詞-一般,1,rookie,"A rookie refers to someone who is new to a job or activity, especially in sports, where it usually denotes a player who is in their first season or year.",彼はチームのルーキーである。,noun
モテ,モテ,mote,動詞-一般,1,popular,"The verb 'モテ' (mote) means to be popular or attractive, often used to describe someone who is well-liked or sought after, particularly in a romantic context.",彼は学校でとてもモテている。,verb
マン,マン,man,名詞-普通名詞-一般,1,man,"A term used in Japanese to mean 'man', often in the context of superhero characters like 'Superman'. It can denote any male person or be part of names in popular culture.",彼はスーパーマンのように強い。,noun
マジ,マジ,maji,形状詞-一般,1,seriously,The word 'マジ' is commonly used as a slang term in Japanese meaning 'seriously' or 'really'. It is used to express sincerity or to emphasize that something is true.,彼はマジで行くつもりなの？,adjective
ヘッ,ヘッ,hetsu,感動詞-一般,1,Uh-oh,"An expression of surprise, disapproval, or mild shock. It can be used to indicate that something unexpected or unwelcome has occurred.",彼はそれを見て、ヘッと言った。,Interjection - General
ヘ,ヘ,he,感動詞-一般,1,Hey,An interjection used to get someone's attention or express surprise. It's a casual way of saying 'hey' or 'oh'.,彼は突然「ヘ」と言った。,interjection
ヘ,ヘ,he,名詞-普通名詞-一般,1,fart,"The word 'ヘ' is often used humorously or informally in Japanese conversations to refer to the act of releasing gas from the digestive tract through the anus, commonly known as a 'fart.' It can also be used to casually indicate sound or atmosphere when used in exclamations or expressions.",今、誰かがヘをしたの？,noun
プロポーション,プロポーション,puropooshon,名詞-普通名詞-一般,1,proportion,Proportion refers to the relation of one part to another; often used in the context of body measurements or harmony in dimensions.,彼女のプロポーションはとても良いです。,noun
ファースト,ファースト,faasuto,名詞-普通名詞-一般,1,first,"Refers to the first or the foremost position in order, sequence, or ranking. It can also indicate the earliest occurrence in time.",彼はファーストクラスに座っていました。,noun
ヒヒヒ,ヒヒヒ,hihihi,感動詞-一般,1,Hee hee hee,"'ヒヒヒ' is an interjection used to indicate laughter or a mischievous giggle, similar to 'hee hee hee' in English. It is often used to express amusement, light-heartedness, or a sense of mischief.",彼はヒヒヒと笑いながら、秘密を打ち明けた。,Interjection
ヒナタ,ヒナタ,hinata,名詞-普通名詞-一般,1,Hinata,"Hinata can refer to a sunny place or a warm spot, but it is also commonly used as a given name in Japan, often associated with positivity and brightness.",ヒナタはとても明るく魅力的な人です。,noun
バランス,バランス,baransu,名詞-普通名詞-サ変可能,1,balance,The word refers to a state of equilibrium or equal distribution. It can imply mental or emotional stability as well as proportionality in physical quantities.,私は仕事とプライベートのバランスを大切にしています。,noun
バッチリ,バッチリ,batchiri,副詞,1,perfectly,Used to describe something that is done flawlessly or without mistake. It indicates perfect or complete state in execution or achievement.,彼は試験をバッチリクリアした。,adverb
ナンバー,ナンバー,nanbaa,名詞-普通名詞-一般,1,number,"A 'ナンバー' refers to a number or a numeral, often used in various contexts such as identifying, labeling, or organizing, such as a phone number, license plate number, etc.",彼の車のナンバーは覚えていません。,noun
こりゃ,コリャ,korya,代名詞,1,this,"A colloquial or casual way to say 'this' in Japanese, often used in informal speech to refer to something close to the speaker.",こりゃ面白い本だね。,pronoun
今後,コンゴ,kongo,名詞-普通名詞-副詞可能,1,future,Refers to the time period following the present; from now on or in the future.,今後の計画について話し合いましょう。,noun
信じ,シンジ,shinji,動詞-一般,1,believe,"To have faith, trust, or confidence in something or someone; to accept something as true or real without evidence.",私は彼を信じています。,verb
似合う,ニアウ,niau,動詞-一般,1,suit,"The verb '似合う' means to look good on someone or to match well with something. It is often used to describe clothing, colors, hairstyles, or accessories that complement a person's appearance.",そのドレスはあなたにとても似合う。,verb
任務,ニンム,ninmu,名詞-普通名詞-一般,1,mission,A mission or task that someone is assigned to complete. It can also imply a duty or responsibility to accomplish a specific goal.,彼の任務は、プロジェクトを成功させることです。,noun
以外,イガイ,igai,名詞-普通名詞-副詞可能,1,outside,Outside; the meaning can be extended to refer to 'except' or 'besides'. It indicates what is not included or other than the mentioned item or context.,仕事以外に趣味は何ですか？,noun - common noun - can act as adverb
以下,イカ,ika,名詞-普通名詞-一般,1,below,"The word '以下' is commonly used as a noun to indicate something that is below, following, or under a certain point or level, often used in lists or to specify quantities or categories.",詳細は以下をご覧ください。,noun
七,ナナ,shichi,名詞-数詞,1,seven,"The numeral seven is used to represent the quantity, sequence, or position of numbers, denoted by '7'. In Japanese, it can be expressed as '七' or 'なな (nana)' or 'しち (shichi)'.",今日は七人でパーティーをします。,noun-numeral
互い,タガイ,tagai,名詞-普通名詞-一般,1,each other,"This word refers to the reciprocal concept of mutuality or shared interaction, usually between two or more parties. It is often used to indicate a relationship or action that goes back and forth between parties, like mutual understanding or interaction.",私たちはお互いに協力し合う必要があります。,noun
予定,ヨテー,yotei,名詞-普通名詞-サ変可能,1,Plan,An arrangement or scheme for a particular activity or event; it can also refer to a schedule or program that outlines what needs to be done.,彼の予定はとても忙しいです。,Noun
中心,チューシン,chuushin,名詞-普通名詞-一般,1,center,"In English, '中心' is translated as 'center' or 'core.' It refers to the central or most important part of something. It can also mean the focal point of an area, a hub, or a nucleus.",ここは市の中心です。,noun
下痢,ゲリ,geri,名詞-普通名詞-サ変可能,1,diarrhea,"Diarrhea is the condition of having at least three loose, liquid, or watery bowel movements each day. It often lasts a few days and can result in dehydration due to fluid loss.",彼は昨日から下痢が続いている。,noun
下忍,ゲニン,genin,名詞-普通名詞-一般,1,genin,"In Japanese culture, particularly in the context of ninjas, '下忍' (genin) refers to the lowest rank of ninja. They typically perform basic tasks and missions and serve under higher-ranking ninjas.",下忍は通常、重要な任務を遂行しません。,noun
下,シタ,shita,名詞-普通名詞-一般,1,bottom,"The word '下' can mean 'bottom', 'below', 'under', or 'beneath', referring to a position or location lower in place or importance.",箱の下には猫がいます。,noun
トップ,トップ,toppu,名詞-普通名詞-一般,1,top,"The word 'トップ' is a noun in Japanese that translates to 'top' in English. It can refer to the highest point or position, a leader, or the best in a particular field. It is often used in contexts such as business, fashion, or sports to indicate the highest level or rank.",彼は会社のトップに立ちました。,noun
ト,ト,to,名詞-普通名詞-一般,1,to,"A noun form that can be used as a particle indicating direction, location, time, or purpose. Commonly used in expressions like ""Tokyo"", where it contributes to forming place names in Japanese.",彼は今日、名古屋からトに向かいます。,noun
デブ,デブ,debu,名詞-普通名詞-形状詞可能,1,fat,A slang term that refers to a person who is overweight or chubby. It can carry a casual or sometimes derogatory connotation depending on context.,彼はちょっとデブだけど、とっても優しい人です。,noun
アカデミー,アカデミー,akademii,名詞-普通名詞-一般,1,academy,"The term 'academy' refers to an institution or organization dedicated to education, research, or professional training in various fields such as the arts, sciences, or military.",彼は有名なアカデミーで勉強しています。 (He is studying at a famous academy.),noun - common noun - general
よ,ヨ,yo,形容詞-非自立可能,1,good,"The term 'よ' often conveys a sense of assurance, encouragement, or emphasis when added to the end of sentences or adjectives in Japanese. It is not a standalone adjective but is used in conjunction with other words to alter or stress their meaning, offering a friendly or forceful tone, like when affirming, confirming or softening.",今日は天気がいいよ。,adjective (not independently usable)
めんどく,メンドク,mendoku,形容詞-一般,1,troublesome,"Troublesome is used to describe something that is inconvenient, bothersome, or a hassle to do or handle. It conveys a sense of reluctance or the feeling that something requires more effort than one would desire to put in.",この仕事は本当にめんどくさい。,adjective
めでたく,メデタク,medetaku,形容詞-一般,1,auspicious,"Relating to something that is considered fortunate, joyous, or celebrating a joyous event.",結婚式はめでたく行われました。,adjective
みてぇ,ミテー,mitee,形状詞-助動詞語幹,1,like,"The word 'みてぇ' is a colloquial variant of 'みたい', which means 'seems like' or 'appears to be'. It is often used to express that something resembles something else or gives the impression of a certain condition. It can also suggest a hypothetical state or condition, similar to saying 'it seems like' or 'it's as if'.",あの雲はうさぎみてぇだな。,auxiliary verb stem
まなざし,マナザシ,manazashi,名詞-普通名詞-一般,1,gaze,A way of looking at someone or something that expresses a particular feeling or attitude; can also refer to an intense or focused look.,彼女のまなざしは、とても優しかった。,noun
まとも,マトモ,matomo,形状詞-一般,1,proper,"Proper or decent; describes something that is appropriate, respectable, or normal.",彼はまともな仕事を手に入れた。,adjective
まとい,マトイ,matoi,名詞-普通名詞-サ変可能,1,target,The word 'まとい' refers to the concept of a target or an object of focus or aim. It can also imply a goal or objective that one aims to achieve or concentrate on.,彼の目標は会社の利益を増やすことです。それが彼のまといです。,noun
ウソ,ウソ,uso,名詞-普通名詞-一般,1,lie,A false statement made with the intention to deceive; an untruth or fabrication.,彼の話は全てウソだった。,noun
ウフッ,ウフッ,ufutsu,名詞-普通名詞-一般,1,giggle,"A soft, often playful or flirtatious laugh.",彼女はソファに座りながら、ウフッと笑った。,noun
ゲット,ゲット,getto,名詞-普通名詞-サ変可能,1,get,"'ゲット' is a loanword from the English verb 'get', used in Japanese as a noun to mean 'the act of acquiring or obtaining something'. It often implies success in obtaining an item or quality, similar to 'catch' or 'obtainment'.",彼は新しいゲームをゲットしました。,noun
チョウジ,チョージ,chouji,名詞-普通名詞-一般,1,clove,"A spice made from aromatic dried flower buds of a tree in the family Myrtaceae, used in cooking and traditional medicine.",チョウジはカレーに香りを加えます。,noun
ダ,ダ,da,名詞-普通名詞-一般,1,dam,"A structure built to hold back water, typically constructed across a river to create a reservoir or to manage water flow.",ダムは洪水を防ぐために建設されました。,noun
タ,タ,ta,代名詞,1,you,"A pronoun often used in informal Japanese to refer to 'you', commonly used by young people.",お前タ本当に忘れたの？ (おまえタほんとうにわすれたの？),pronoun
セル,セル,seru,名詞-普通名詞-一般,1,cell,"In scientific contexts, a 'cell' typically refers to the smallest structural and functional unit of an organism, which can exist as an independent life form or as part of a multicellular organism. In different contexts, 'cell' can mean a small room, a unit in an Excel spreadsheet, or a component in a battery.",人体には数多くのセルが存在します。,noun
スリー,スリー,surii,名詞-普通名詞-一般,1,three,"The word ""スリー"" is a transliteration of the English word ""three,"" and it retains the same meaning, indicating the number 3.",スリー本のペンがあります。,noun
シノ,シノ,shino,名詞-普通名詞-一般,1,shino,"Shino is a name or term used in various contexts. In Japanese, it can refer to either a name for people or a specific type of glaze used in pottery, known for its soft and glassy texture.",彼の名前はシノです。,noun
サス,サス,sasu,名詞-普通名詞-一般,1,suspension,"The word 'サス' is an abbreviation for 'サスペンション' (suspension) often used in the context of cars and vehicles, referring specifically to the system of springs and dampeners that absorbs shocks from the road.",車のサスが壊れたので修理が必要です。,noun
ゴール,ゴール,gooru,名詞-普通名詞-サ変可能,1,goal,"In a sports context, 'ゴール' refers to a goal where points are scored, or to achieving an objective or target in various contexts.",彼は試合の最後に決定的なゴールを決めました。,noun
ケガ,ケガ,kega,名詞-普通名詞-サ変可能,1,injury,"An injury or wound, typically referring to physical harm or damage to the body.",彼はサッカーの試合でケガをしました。,noun
エッヘヘ,エッヘヘ,ehhehe,名詞-普通名詞-一般,1,giggle,"A light, often slightly mischievous laugh, usually indicating amusement or satisfaction. It can be used to represent a shy or playful giggle in expressions.",彼女はエッヘヘと笑った。,noun
