surface,reading,romaji,pos,frequency,short_translation,detailed_translation,used_in_sentence,english_pos
合え,アエ,ae,動詞-非自立可能,1,meet,"A non-independent verb form of ""meet"" which is used to indicate the action of meeting or coming together with someone or something. It can also imply mutual action or reciprocal intent to encounter.",友達と駅で合えそうだ。,verb (auxiliary)
取れる,トレル,tore,動詞-一般,1,can be taken,"The verb '取れる' means 'can be taken,' 'can be removed,' or 'can be obtained'. It indicates a potential state where something can be acquired, detached, or achieved without much effort.",このシャツは汚れが簡単に取れる。,verb
あげく,アゲク,ageku,名詞-普通名詞-副詞可能,1,finally,"In terms of usage, 'あげく' refers to a situation or result that occurs at the end of a process or after considerable effort, often with a negative connotation. It suggests that the final outcome is not desirable, occurring after various trials or difficulties.",彼は数時間考えたあげく、結局何も決められなかった。,noun
危機,キキ,kiki,名詞-普通名詞-一般,1,crisis,"A situation of severe difficulty or danger, which may require immediate action or attention. It can indicate a turning point or a critical moment that determines the future progress or outcome.",その会社は今、経済的な危機に直面しています。,noun-common noun-general
協力,キョーリョク,kyouryoku,名詞-普通名詞-サ変可能,1,cooperation,"Cooperation refers to the process of working together towards a common goal or benefit, often involving mutual assistance in completing tasks or overcoming challenges.",プロジェクトの成功には、協力が必要です。,noun
卓越,タクエツ,takuetsu,名詞-普通名詞-サ変可能,1,excellence,"卓越 refers to superiority or excellence surpassing others in quality, skill, or degree, often highlighting an exceptional ability or characteristic.",彼の卓越した技術は、多くの賞を受賞している。,noun
動け,ウゴケ,ugoke,動詞-一般,1,move,This verb means to move or to be able to move. It implies the ability or action of changing position or place.,早く動け、電車に間に合わないよ。,verb
助け,タスケ,tasuke,動詞-一般,1,help,To provide assistance or support to someone in need. It can also mean to rescue or save someone from a difficult situation.,彼は私を助けてくれた。,verb
仕組ん,シクン,shikun,動詞-一般,1,engineered,"To arrange or plan something deliberately or with a particular intent, often involving a complex or hidden process.",彼はすべてを綿密に仕組んでいた。,verb
仕事,シゴト,shigoto,名詞-普通名詞-サ変可能,1,work,"work, job, or task. It often refers to one's profession, occupation, or duties performed as part of employment.",彼は毎日仕事に行きます。 (He goes to work every day.),noun
今頃,イマゴロ,imagoro,名詞-普通名詞-副詞可能,1,now,"At this time; refers to the present or a certain time that is either late or later than expected. It can imply 'by this time,' indicating something should have occurred by now.",今頃になって、彼はやっと宿題を始めた。,noun
ヒヒ,ヒヒ,hihi,名詞-普通名詞-一般,1,baboon,"A type of primate that is part of the genus Papio, known for its distinctive face and large size. Baboons are found in various regions of Africa and the Middle East.",動物園でヒヒを見ました。,noun
パラダイス,パラダイス,paradaisu,名詞-普通名詞-一般,1,paradise,"The word 'パラダイス' translates to 'paradise' in English, which signifies a place or state of perfect happiness and peace. It can often refer to an idyllic or ideal setting.",このビーチはまるでパラダイスのようです。,noun
バレ,バレ,bare,動詞-一般,1,exposed,"バレ, in verb form, often refers to something being exposed, revealed, or known. It can mean that a secret, plan, or hidden truth has come to light or been discovered.",彼の秘密はすぐにバレた。,verb
ハハ,ハハ,haha,感動詞-一般,1,Haha,"An exclamation often used to express laughter, amusement, or mild surprise.",彼が転んだとき、みんなが「ハハ」と笑った。,Interjection
おから,オカラ,okara,名詞-普通名詞-一般,1,soy pulp,"Okara is a byproduct resulting from the production of tofu or soy milk, consisting of the pulp remaining after soybeans have been pureed and filtered. It is rich in fiber and protein and can be used in various recipes as a nutritious ingredient.",おからは料理に使える栄養豊富な食材です。,noun
ナメ,ナメ,name,動詞-一般,1,lick,"To lick, as in to pass the tongue over something for tasting or cleaning purposes.",猫が手をナメている。,verb
チーム,チーム,chiimu,名詞-普通名詞-一般,1,team,"A 'team' refers to a group of people working together toward a common goal or purpose, often seen in sports, business, and other collaborative environments.",私はサッカーチームに所属しています。,noun
チャンス,チャンス,chansu,名詞-普通名詞-一般,1,chance,Refers to an opportunity or possibility that something will happen.,彼にチャンスを与えてください。,noun
セーフ,セーフ,seefu,名詞-普通名詞-一般,1,safe,"In English, 'セーフ' refers to something that is free from danger or injury, or a situation where someone is declared not to be out or caught, especially in sports like baseball. It can also imply something that has been successfully completed without problems.",彼は滑り込んでセーフだった。,noun
ショッボ,ショッボ,shobbo,名詞-普通名詞-一般,1,shobbo,Refers to something that is disappointing or lackluster in quality or performance.,あの映画はショッボだった。,noun
ザマ,ザマ,zama,名詞-普通名詞-一般,1,situation,"ザマ (zama) can refer to a situation or state of affairs, often implying a negative or unfortunate condition, sometimes with a nuance of getting what one deserves or a sort of poetic justice.",彼はうっかり転んでしまったが、ザマを見ると笑えた。,noun
き,キ,ki,記号-一般,1,ki,"The Japanese term 'き' as a symbol can represent various phonetic elements and carry different meanings based on context. It is often used in hiragana writing and can be a part of various words. As a standalone symbol, it may not have a definitive meaning without additional context, such as being part of a larger term or phrase.",ひらがなの「き」を書いてください。,symbol
ビシっ,ビシッ,bishi,副詞,1,Suddenly,"The adverb 'ビシっ' expresses a strong, sudden, and emphatic action or sound, often used to describe something being said or done with impact or decisiveness.",彼はビシっと答えた。,Adverb
人質,ヒトジチ,hitojichi,名詞-普通名詞-一般,1,hostage,"A person who is taken or held by someone as security for the fulfillment of a condition. In some contexts, it can also refer broadly to any individual who is forcibly detained as a means to achieve an objective or as leverage for negotiation.",警察は人質を安全に解放した。,noun
二,ニ,ni,名詞-数詞,1,two,The cardinal number that is one more than one and one less than three. It is used to count or quantify objects.,彼はペンを二本持っています。,noun-numeral
乱す,ミダス,midasu,動詞-一般,1,disturb,"To make something disordered, confused, or disorganized. Can also mean to disrupt a situation or state of affairs.",彼は部屋を乱す癖がある。,verb
世界,セカイ,sekai,名詞-普通名詞-一般,1,world,"The Japanese word 世界 (sekai) translates to 'world' in English. It refers to the planet we live on, encompassing all geographical entities and inhabitants. Additionally, it can imply a realm or domain of a particular cultural, academic, or social context.",彼は世界中を旅したいと思っている。,noun-common-general
下,カ,shita,接尾辞-名詞的-副詞可能,1,under,"The word '下' is used as a suffix to denote a position or direction below something. When used in different contexts, it can also mean lower, beneath, or the act of descending. It possesses a noun form that can be used in adverbial manners, particularly to indicate location or status below another object.",棚の下に猫がいます。,suffix - noun form - adverbial possible
一種,イッシュ,isshu,名詞-普通名詞-一般,1,kind,"A type or kind, referring to a category or class of items or beings sharing similar characteristics.",これは一種の特別な植物です。,noun
ヤバ,ヤバ,yaba,名詞-普通名詞-一般,1,dangerous,"'ヤバ' is a slang term in Japanese that is often used to describe something that is dangerous, risky, or in a bad state. However, it can also be used to express excitement or surprise, depending on the context.",あの場面は本当にヤバかった。,noun-common-noun-general
ボンクラ,ボンクラ,bonkura,形状詞-一般,1,fool,"The word 'ボンクラ' refers to a foolish or stupid person, often used to describe someone who lacks common sense or intelligence. It can also imply being clumsy or incompetent.",彼は全くのボンクラだ。,adjective
ﾍﾞﾙ,ﾍﾞﾙ,beru,名詞-普通名詞-一般,1,bell,"A bell. It can refer to a percussion instrument or any object that rings when struck, such as a doorbell or an alarm bell.",ドアにベルが設置されています。,noun
